$\delta$,$N$,data,error
9.999999999998899e-05,312,0.16657499999999986,0.013156899268952991
9.999999999998899e-05,396,0.09843999999999994,0.009664355444941259
9.999999999998899e-05,516,0.06281538461538456,0.0077488353589319015
9.999999999998899e-05,672,0.030211764705882323,0.005102159898930142
9.999999999998899e-05,864,0.015247987138099554,0.003464036170152593
9.999999999998899e-05,1116,0.012259816207184629,0.005415525297579777
9.999999999998899e-05,1440,0.007019006914764238,0.0070190069147642534
9.999999999998899e-05,1860,0.0005879240402140043,0.0005879240402140048
9.999999999998899e-05,2388,0.001967342120794806,0.0019673421207948073
9.999999999998899e-05,3084,0.0,0.0
9.999999999998899e-05,3972,0.0,0.0
9.999999999998899e-05,5124,0.0,0.0
9.999999999998899e-05,6600,0.0,
0.00013111339374216602,312,0.13177499999999995,0.012192605710388932
0.00013111339374216602,396,0.08943999999999996,0.009573637811247086
0.00013111339374216602,516,0.04499999999999998,0.0062834088510074874
0.00013111339374216602,672,0.024988235294117634,0.004494033607815168
0.00013111339374216602,864,0.012734302229140883,0.003599115634915316
0.00013111339374216602,1116,0.004427736006683375,0.0022555120614046503
0.00013111339374216602,1440,0.0011814170054553668,0.001181417005455374
0.00013111339374216602,1860,0.0,0.0
0.00013111339374216602,2388,0.0,0.0
0.00013111339374216602,3084,0.0,0.0
0.00013111339374216602,3972,0.0,0.0
0.00013111339374216602,5124,0.0,0.0
0.00013111339374216602,6600,0.0,
0.00017190722018589621,312,0.08912499999999995,0.009960312103151858
0.00017190722018589621,396,0.056999999999999974,0.007050383529135609
0.00017190722018589621,516,0.028415384615384596,0.004767881611567783
0.00017190722018589621,672,0.013752941176470586,0.0030709843688036358
0.00017190722018589621,864,0.009978180704597366,0.002953340333760813
0.00017190722018589621,1116,0.004260651629072682,0.00285490610947952
0.00017190722018589621,1440,0.00201535842107092,0.002015358421070919
0.00017190722018589621,1860,0.0,0.0
0.00017190722018589621,2388,0.0,0.0
0.00017190722018589621,3084,0.0,0.0
0.00017190722018589621,3972,0.0,0.0
