$p$,$r$,$N$,data,error
0.0,0.0,60,0.5,0.0
0.0,0.0,72,1.2000000000000064,6.655445029639135e-17
0.0,0.0,84,1.0909090909090975,8.220742425660939e-17
0.0,0.0,108,1.7142857142857217,1.2580780403132448e-16
0.0,0.0,132,2.3529411764705723,3.2478503846376345e-16
0.0,0.0,168,3.818181818181804,6.493105251834007e-16
0.0,0.0,204,4.307692307692298,7.1066020996703e-16
0.0,0.0,252,5.625,0.0
0.0,0.0,300,6.947368421052629,2.484691940836951e-16
0.0,0.0,372,8.936170212765958,2.123152514838e-16
0.0,0.01,60,19.6952625,0.007386350937871334
0.0,0.01,72,23.845674001281786,0.005538588030370483
0.0,0.01,84,27.921619114858032,0.004785996410790537
0.0,0.01,108,35.97612437534703,0.003280043023875535
0.0,0.01,132,43.98990487284022,0.0024451825448361148
0.0,0.01,168,56.0000946969697,0.0018110654126322484
0.0,0.01,204,68.0,0.0
0.0,0.01,252,84.0,0.0
0.0,0.01,300,100.0,0.0
0.0,0.01,372,124.0,0.0
0.0,0.02,60,19.982475,0.001687049065959573
0.0,0.02,72,23.993633838923305,0.0009999024047960107
0.0,0.02,84,27.998947907581986,0.0007085183512329602
0.0,0.02,108,35.99930594114381,0.00048688310091926033
0.0,0.02,132,44.0,0.0
0.0,0.02,168,56.0,0.0
0.0,0.02,204,68.0,0.0
0.0,0.02,252,84.0,0.0
0.0,0.02,300,100.0,0.0
0.0,0.02,372,124.0,0.0
0.0,0.03,60,19.997975,0.000567558058453029
0.0,0.03,72,23.999743644520404,0.0002594525356624263
0.0,0.03,84,27.99997231335742,5.537644756932736e-05
0.0,0.03,108,36.0,0.0
0.0,0.03,132,44.0,0.0
0.0,0.03,168,56.0,0.0
0.0,0.03,204,68.0,0.0
0.0,0.03,252,84.0,0.0
0.0,0.03,300,100.0,0.0
0.0,0.03,372,124.0,0.0
0.0,0.04,60,19.9973375,0.0004258409250228813
0.0,0.04,72,23.999412518692587,0.00020342976510540192
0.0,0.04,84,27.999916940072264,9.982794842427295e-05
0.0,0.04,108,35.999881018481794,8.412095570321073e-05
0.0,0.04,132,44.0,0.0
0.0,0.04,168,56.0,0.0
0.0,0.04,204,68.0,0.0
0.0,0.04,252,84.0,0.0
0.0,0.04,300,100.0,0.0
0.0,0.04,372,124.0,0.0
0.0,0.05,60,19.9978,0.000418892643889469
0.0,0.05,72,23.998953215124974,0.00023132843078902258
0.0,0.05,84,27.999847723465813,7.705930899693804e-05
0.0,0.05,108,35.99998016974697,1.9830253034028255e-05
0.0,0.05,132,44.0,0.0
0.0,0.05,168,56.0,0.0
0.0,0.05,204,68.0,0.0
0.0,0.05,252,84.0,0.0
0.0,0.05,300,100.0,0.0
0.0,0.05,372,124.0,0.0
0.0,0.06,60,19.9984,0.00040513629008193455
0.0,0.06,72,23.999583422345655,0.0002040348322138107
0.0,0.06,84,27.999861566787104,0.00010542178021894833
0.0,0.06,108,36.0,0.0
0.0,0.06,132,44.0,0.0
0.0,0.06,168,56.0,0.0
0.0,0.06,204,68.0,0.0
0.0,0.06,252,84.0,0.0
0.0,0.06,300,100.0,0.0
0.0,0.06,372,124.0,0.0
0.0,0.07,60,19.998125,0.0004457923402000746
0.0,0.07,72,23.999508651997434,0.00022041650792261507
0.0,0.07,84,27.999875410108395,0.00013492951982433472
0.0,0.07,108,35.99986118822876,0.0001388117712382
0.0,0.07,132,44.0,0.0
0.0,0.07,168,56.0,0.0
0.0,0.07,204,68.0,0.0
0.0,0.07,252,84.0,0.0
0.0,0.07,300,100.0,0.0
0.0,0.07,372,124.0,0.0
0.0,0.08,60,19.998475,0.0004251152900108149
0.0,0.08,72,23.999487289040804,0.0001741383324195052
0.0,0.08,84,27.99991694007226,9.591116913010804e-05
0.0,0.08,108,36.00001983025303,1.9830253034028228e-05
0.0,0.08,132,44.0,0.0
0.0,0.08,168,56.0,0.0
0.0,0.08,204,68.0,0.0
0.0,0.08,252,84.0,0.0
0.0,0.08,300,100.0,0.0
0.0,0.08,372,124.0,0.0
0.0,0.09,60,19.998125,0.00041304115751312353
0.0,0.09,72,23.999519333475753,0.00020624480412579483
0.0,0.09,84,27.99997231335742,7.325675199927813e-05
0.0,0.09,108,36.0,0.0
0.0,0.09,132,44.0,0.0
0.0,0.09,168,56.0,0.0
0.0,0.09,204,68.0,0.0
0.0,0.09,252,84.0,0.0
0.0,0.09,300,100.0,0.0
0.0,0.09,372,124.0,0.0
0.0,0.1,60,19.9984,0.0003829277521495873
0.0,0.1,72,23.99941251869259,0.00019188387801141456
0.0,0.1,84,28.000096903249027,9.286319372814963e-05
0.0,0.1,108,36.00001983025303,1.9830253034028258e-05
0.0,0.1,132,44.0,0.0
0.0,0.1,168,56.0,0.0
0.0,0.1,204,68.0,0.0
0.0,0.1,252,84.0,0.0
0.0,0.1,300,100.0,0.0
0.0,0.1,372,124.0,0.0
0.0,0.11,60,19.9980125,0.0004039988315336922
0.0,0.11,72,23.999765007477034,0.00017022651785558504
0.0,0.11,84,27.999889253429686,8.533151726937389e-05
0.0,0.11,108,36.00003966050607,3.966050606805814e-05
0.0,0.11,132,44.0,0.0
0.0,0.11,168,56.0,0.0
0.0,0.11,204,68.0,0.0
0.0,0.11,252,84.0,0.0
0.0,0.11,300,100.0,0.0
0.0,0.11,372,124.0,0.0
0.0,0.12,60,19.9973125,0.00046779361631145113
0.0,0.12,72,23.999198889126255,0.0002010948298849999
0.0,0.12,84,27.999847723465813,0.00011663964304659172
0.0,0.12,108,36.0,0.0
0.0,0.12,132,44.0,0.0
0.0,0.12,168,56.0,0.0
0.0,0.12,204,68.0,0.0
0.0,0.12,252,84.0,0.0
0.0,0.12,300,100.0,0.0
0.0,0.12,372,124.0,0.0
0.0,0.13,60,19.9984875,0.0003843888133790898
0.0,0.13,72,23.9997436445204,0.00017419879469024054
0.0,0.13,84,27.999875410108395,9.285816488783852e-05
0.0,0.13,108,36.0,0.0
0.0,0.13,132,44.0,0.0
0.0,0.13,168,56.0,0.0
0.0,0.13,204,68.0,0.0
0.0,0.13,252,84.0,0.0
0.0,0.13,300,100.0,0.0
0.0,0.13,372,124.0,0.0
0.0,0.14,60,19.998675,0.00036720283399250907
0.0,0.14,72,23.99949797051912,0.00021277505636111685
0.0,0.14,84,27.999875410108395,0.00011988594874525767
0.0,0.14,108,35.99996033949393,3.9660506068058156e-05
0.0,0.14,132,44.0,0.0
0.0,0.14,168,56.0,0.0
0.0,0.14,204,68.0,0.0
0.0,0.14,252,84.0,0.0
0.0,0.14,300,100.0,0.0
0.0,0.14,372,124.0,0.0
0.0,0.15,60,19.9978875,0.0004434012233175327
0.0,0.15,72,23.99959410382397,0.0002076403896744994
