$r$,$N$,data,error
0.0001,312,0.9574999999999996,0.03088999339092993
0.0001,396,0.8992800000000003,0.028938543863175282
0.0001,516,0.7477076923076931,0.027102650750459267
0.0001,672,0.5949294117647072,0.02229323288320091
0.0001,864,0.41899999999999993,0.018388269240873778
0.0001,1116,0.29738617200674544,0.02058919855651683
0.0001,1440,0.15253676756672632,0.01983845899859527
0.0001,1860,0.1253549026081215,0.024577166039104453
0.0001,2388,0.04013377926421404,0.017095639330324975
0.0001,3084,0.008827480330071004,0.005267828637366162
0.0001,3972,0.0,0.0
0.0001,5124,0.0,0.0
0.0001,6600,0.0,
0.0001333521,312,0.9333999999999993,0.02906170629492992
0.0001333521,396,0.7860799999999999,0.027410756705774822
0.0001333521,516,0.6691692307692317,0.024776748298562717
0.0001333521,672,0.512058823529412,0.022058704194067757
0.0001333521,864,0.38843119266055026,0.01805229972058948
0.0001333521,1116,0.25215610696217805,0.018112263437669713
0.0001333521,1440,0.12384250252898604,0.01758923011079702
0.0001333521,1860,0.07022119511389899,0.01451366013291696
0.0001333521,2388,0.0443006743790778,0.0222493866502732
0.0001333521,3084,0.013433122241412397,0.010244888064847347
0.0001333521,3972,0.0,0.0
0.0001333521,5124,0.0,0.0
0.0001333521,6600,0.0,
0.0001778279,312,0.872825,0.02978494649000423
0.0001778279,396,0.7836200000000011,0.027669682089010557
0.0001778279,516,0.5968923076923089,0.023884780058817917
0.0001778279,672,0.42378823529411824,0.019238908621528095
0.0001778279,864,0.2991651376146789,0.016026721601890625
0.0001778279,1116,0.1851120211997108,0.0156070378755758
0.0001778279,1440,0.07855419811687808,0.01251262879670006
0.0001778279,1860,0.050412677451304067,0.012744459927054584
0.0001778279,2388,0.015187236142332364,0.007511750232068033
0.0001778279,3084,0.016119746689694875,0.010672965058501427
0.0001778279,3972,0.0,0.0
0.0001778279,5124,0.0,0.0
0.0001778279,6600,0.0,
0.0002371374,312,0.7795999999999987,0.02816168799398695
0.0002371374,396,0.6466399999999998,0.024020709916755253
0.0002371374,516,0.500676923076924,0.021501216650817608
0.0002371374,672,0.34135294117647097,0.016849761765823073
0.0002371374,864,0.2612844036697247,0.014307855854315342
0.0002371374,1116,0.13370272223560592,0.013927358549663552
0.0002371374,1440,0.08536300676990119,0.017305264162819363
0.0002371374,1860,0.041663915483657984,0.01264262446144486
0.0002371374,2388,0.021163440978123803,0.010815544282463686
0.0002371374,3084,0.0036461331798119364,0.0036461331798119364
0.0002371374,3972,0.0,0.0
0.0002371374,5124,0.0,0.0
0.0002371374,6600,0.0,
0.0003162278,312,0.7343500000000003,0.026236466600510093
0.0003162278,396,0.5645200000000005,0.023573716077226574
0.0003162278,516,0.4200307692307704,0.01855925472947739
0.0003162278,672,0.27609411764705927,0.014655730184601914
0.0003162278,864,0.1836880733944954,0.011673101310444139
0.0003162278,1116,0.09895205974463987,0.01024075786250972
0.0003162278,1440,0.05604622208388453,0.01202108202810122
0.0003162278,1860,0.023473093430174976,0.00896109577018982
0.0003162278,2388,0.003783102143757881,0.0035668833707882563
0.0003162278,3084,0.0,0.0
0.0003162278,3972,0.0,0.0
0.0003162278,5124,0.0,0.0
0.0003162278,6600,0.0,
0.0004216965,312,0.6128999999999993,0.023027866219487717
0.0004216965,396,0.4680400000000002,0.020685087170017647
0.0004216965,516,0.3760769230769242,0.017993824949581985
0.0004216965,672,0.2243764705882356,0.012875354201670814
0.0004216965,864,0.12688990825688082,0.009639964856860419
0.0004216965,1116,0.06710431221392436,0.007986663711926268
0.0004216965,1440,0.027916115477394757,0.0076358016930543945
0.0004216965,1860,0.019676460878177617,0.009032345509734734
0.0004216965,2388,0.005098963758978015,0.004132243331886348
0.0004216965,3084,0.005373248896564958,0.0053732488965649566
0.0004216965,3972,0.0,0.0
0.0004216965,5124,0.0,0.0
0.0004216965,6600,0.0,
0.0005623413,312,0.53715,0.022083054335593773
0.0005623413,396,0.41872000000000026,0.01977669029638378
0.0005623413,516,0.2618769230769236,0.01479017530717525
0.0005623413,672,0.17572941176470622,0.011180582495581933
0.0005623413,864,0.08368807339449541,0.007395923798360812
0.0005623413,1116,0.05302336786316551,0.007995330800872431
0.0005623413,1440,0.024492257411874562,0.006348201927542152
0.0005623413,1860,0.0059425552987784755,0.0025285278328278753
0.0005623413,2388,0.0,0.0
0.0005623413,3084,0.0011514104778353482,0.0011514104778353482
0.0005623413,3972,0.0,0.0
0.0005623413,5124,0.0,0.0
0.0005623413,6600,0.0,
0.0007498942,312,0.46550000000000014,0.020277997859680225
0.0007498942,396,0.35066000000000025,0.017212432490273728
0.0007498942,516,0.21361538461538482,0.012728259211182157
0.0007498942,672,0.11177647058823556,0.008420277545658364
0.0007498942,864,0.06830275229357802,0.006695938458596793
0.0007498942,1116,0.02710190315586606,0.003922100643946642
0.0007498942,1440,0.012683837833631624,0.003636767739612964
0.0007498942,1860,9.904258831297458e-05,9.904258831297447e-05
0.0007498942,2388,0.0,0.0
0.0007498942,3084,0.0,0.0
0.0007498942,3972,0.0,0.0
0.0007498942,5124,0.0,0.0
0.0007498942,6600,0.0,
0.001,312,0.38870000000000027,0.018736551666952168
0.001,396,0.2718000000000003,0.015133042290596144
0.001,516,0.1645230769230773,0.010680872206438145
0.001,672,0.10494117647058848,0.00877235034646868
0.001,864,0.053908256880734,0.005646842810253883
0.001,1116,0.020525174656709222,0.0033604150137193966
0.001,1440,0.004474359971986616,0.001954425297757264
0.001,1860,0.0003631561571475735,0.0003631561571475742
0.001,2388,0.0,0.0
0.001,3084,0.0,0.0
0.001,3972,0.0,0.0
0.001,5124,0.0,0.0
0.001,6600,0.0,
0.0013335214,312,0.31000000000000016,0.01614514371771487
0.0013335214,396,0.22104000000000013,0.012239277687768849
0.0013335214,516,0.1293538461538464,0.00977281650798333
0.0013335214,672,0.06234117647058825,0.0060067122925010815
0.0013335214,864,0.023486238532110102,0.002775800895639548
0.0013335214,1116,0.009094194170079496,0.0029082341875514314
0.0013335214,1440,0.00406583145280523,0.002399424494025991
0.0013335214,1860,0.000726312314295147,0.0007263123142951489
0.0013335214,2388,0.0,0.0
0.0013335214,3084,0.0,0.0
0.0013335214,3972,0.0,0.0
0.0013335214,5124,0.0,0.0
0.0013335214,6600,0.0,
0.0017782794,312,0.2450250000000001,0.013773773673769054
0.0017782794,396,0.16832000000000014,0.011519213075113735
0.0017782794,516,0.07989230769230778,0.006967870131737036
0.0017782794,672,0.04605882352941176,0.005097084891586455
0.0017782794,864,0.02295412844036697,0.003920885040901911
0.0017782794,1116,0.002300650445675741,0.0007591571372863196
0.0017782794,1440,0.001867558944829196,0.000970018885109048
0.0017782794,1860,0.0,0.0
0.0017782794,2388,0.0,0.0
0.0017782794,3084,0.0,0.0
0.0017782794,3972,0.0,0.0
0.0017782794,5124,0.0,0.0
0.0017782794,6600,0.0,
0.0023713737,312,0.18880000000000005,0.011366067811582703
0.0023713737,396,0.13262000000000007,0.010141754818116628
0.0023713737,516,0.06593846153846157,0.006163928831031286
